"DATE","Quarter","Primary.Energy.Consumed.by.the.Residential.Sector","Electricity.Sales.to.Ultimate.Customers.in.the.Residential.Sector","End.Use.Energy.Consumed.by.the.Residential.Sector","Residential.Sector.Electrical.System.Energy.Losses","Total.Energy.Consumed.by.the.Residential.Sector","Primary.Energy.Consumed.by.the.Commercial.Sector","Electricity.Sales.to.Ultimate.Customers.in.the.Commercial.Sector","End.Use.Energy.Consumed.by.the.Commercial.Sector","Commercial.Sector.Electrical.System.Energy.Losses","Total.Energy.Consumed.by.the.Commercial.Sector","Primary.Energy.Consumed.by.the.Industrial.Sector","Electricity.Sales.to.Ultimate.Customers.in.the.Industrial.Sector","End.Use.Energy.Consumed.by.the.Industrial.Sector","Industrial.Sector.Electrical.System.Energy.Losses","Total.Energy.Consumed.by.the.Industrial.Sector","GDP","Month","Formatted.Data","Total.Energy.Consumed"
1985,"Q3",-323.971096938776,-257.385903061224,-581.358147959182,-779.833168367349,-1361.18745918367,-1.64935714285593,-8.64166836734682,-10.2963775510216,-252.598219387756,-262.885397959184,1415.47766836735,53.4307499999992,1468.90570408163,-257.155760204082,1211.75046938775,106.669607142855,"July",1985-07-01,1089.85721428572
1985,"Q4",47.9456734693888,383.667760204082,431.617127551018,773.375877551023,1204.98646428571,-67.7291071428579,84.1786071428571,16.4534948979608,178.627709183675,195.075801020409,188.417841836738,15.5170459183682,203.934372448979,169.371540816327,373.309954081633,-28.3302397959142,"October",1985-10-01,168.634408163261
1986,"Q1",766.382260204081,-630.30575,136.069229591838,-1152.94646428572,-1016.87447959184,384.416704081633,-217.844943877551,166.563071428571,-342.928943877551,-176.362785714288,-237.084301020411,-83.9392806122456,-321.022846938775,-169.621566326532,-490.649265306128,51.482494897954,"January",1986-01-01,913.714663265309
1986,"Q2",-479.754836734694,540.063892857142,60.3177908163266,1062.38175510204,1122.70147448979,-372.012239795918,147.876005102041,-224.123188775511,285.988454081632,61.8643826530651,-1695.15720918368,62.2014846938779,-1632.95522959184,188.075785714286,-1444.88115816325,-64.4358622448945,"April",1986-04-01,-2546.92428571429
1986,"Q3",-549.013096938776,-353.157903061224,-902.176147959183,-740.170168367346,-1642.35045918367,-8.68835714285706,-37.8766683673471,-46.5763775510197,-111.219219387754,-157.797397959187,2032.48566836735,-18.5902500000001,2013.89270408163,-155.285760204081,1858.61746938774,-84.3983928571415,"July",1986-07-01,1474.78421428572
1986,"Q4",499.561673469389,392.678760204081,892.243127551019,782.43187755102,1674.67646428571,90.7778928571427,93.8306071428574,184.614494897959,187.683709183673,372.29780102041,-570.115158163264,0.114045918367538,-569.996627551017,89.8205408163271,-480.187045918357,263.076760204076,"October",1986-10-01,20.2244081632616
1987,"Q1",493.618260204081,-391.122749999999,102.490229591838,-756.154464285714,-653.662479591836,212.990704081633,-138.639943877551,74.3540714285705,-266.584943877551,-192.226785714287,270.01569897959,7.93371938775476,277.948153061219,-52.565566326532,225.384734693874,-340.673505102035,"January",1987-01-01,976.624663265309
1987,"Q2",-898.394836734692,106.129892857142,-792.256209183673,173.66275510204,-618.5975255102,-346.006239795918,-5.55499489795955,-351.572188775509,-16.5985459183667,-368.173617346936,-1356.12320918367,-33.0755153061222,-1389.20422959183,4.46378571428659,-1384.73615816327,322.6881377551,"April",1987-04-01,-2600.52428571429
1987,"Q3",450.901903061221,122.856096938776,573.751852040815,331.883831632653,905.64054081632,179.836642857142,134.585331632654,314.429622448978,307.584780612244,622.013602040814,1679.03466836735,67.4657499999997,1746.50670408162,80.5412397959178,1827.04646938776,-332.480392857145,"July",1987-07-01,2309.77321428572
1987,"Q4",-133.523326530608,2.52776020408146,-130.995872448978,-155.27212244898,-286.269535714281,-158.156107142857,-55.0013928571435,-213.15850510204,-211.187290816326,-424.34119897959,-803.186158163266,-54.4389540816323,-857.623627551013,-106.854459183672,-964.484045918375,389.991760204088,"October",1987-10-01,-1094.86559183674
1988,"Q1",275.06626020408,-205.21875,69.8512295918354,-150.553464285714,-80.6994795918381,336.770704081632,-55.1639438775504,281.610071428571,78.42905612245,360.033214285714,132.646698979593,10.9457193877548,143.584153061217,135.165433673468,278.759734693881,-298.909505102047,"January",1988-01-01,744.483663265304
1988,"Q2",-64.4868367346942,180.874892857142,116.382790816327,-0.37724489795869,115.995474489798,-154.267239795918,12.3050051020404,-141.970188775509,-247.797545918369,-389.76661734694,-77.2952091836723,-4.31451530612208,-81.6032295918285,-242.302214285713,-323.912158163265,74.5791377551031,"April",1988-04-01,-296.049285714277
1988,"Q3",-518.716096938775,-148.272903061224,-666.983147959183,69.7628316326513,-597.212459183677,-297.999357142858,33.1413316326532,-264.851377551023,333.933780612246,69.086602040818,-60.8563316326581,14.9147499999995,-45.9442959183725,242.907239795917,196.964469387754,-12.3253928571376,"July",1988-07-01,-877.571785714299
1988,"Q4",637.553673469387,396.992760204082,1034.54212755102,565.483877551023,1600.03046428572,349.521892857144,84.5566071428574,434.072494897962,2.37070918367272,436.440801020408,400.595841836741,10.6360459183677,411.23837244898,-44.4544591836711,366.780954081633,58.7967602040735,"October",1988-10-01,1387.67140816328
1989,"Q1",-1019.69673979592,-657.842750000001,-1677.53377040816,-1379.00346428572,-3056.54747959184,-324.694295918368,-201.362943877551,-526.049928571429,-450.41494387755,-976.466785714288,-408.827301020412,-45.6062806122449,-454.444846938774,-257.696566326532,-712.135265306124,105.358494897966,"January",1989-01-01,-1753.2183367347
1989,"Q2",2474.22716326531,555.277892857143,3029.49479081633,1488.20575510204,4517.7054744898,880.532760204082,129.410005102041,1009.94081122449,573.757454081632,1583.69738265306,232.538790816328,39.2164846938776,271.764770408163,510.609785714286,782.369841836738,-306.841862244903,"April",1989-04-01,3587.29871428572
1989,"Q3",-3088.94909693878,-314.710903061224,-3403.65014795918,-1034.08116836735,-4437.72945918368,-1288.98835714286,-10.9486683673471,-1299.94437755102,-394.651219387756,-1694.58939795918,-398.104331632655,-3.55625000000077,-401.668295918367,-509.290760204082,-910.955530612251,161.579607142859,"July",1989-07-01,-4776.04178571429
1989,"Q4",1518.75067346939,302.043760204081,1820.79112755102,734.27887755102,2555.06746428572,642.350892857143,26.3086071428572,668.669494897961,207.396709183675,876.062801020408,264.474841836737,-16.7709540816315,247.712372448981,262.237540816328,509.942954081639,24.0157602040817,"October",1989-10-01,2425.57640816327
1990,"Q1",240.083260204081,-374.939749999999,-134.858770408165,-623.874464285715,-758.731479591836,248.779704081632,-87.5209438775507,161.25007142857,-100.620943877552,60.6292142857137,408.829698979591,-9.7852806122454,399.03515306122,-63.5865663265317,335.459734693872,122.352494897958,"January",1990-01-01,897.692663265301
1990,"Q2",-243.831836734693,310.330892857142,66.5007908163288,466.324755102041,532.819474489796,-202.163239795918,80.08900510204,-122.063188775509,70.5734540816338,-51.4946173469389,-503.516209183675,68.1554846938773,-435.34922959183,131.168785714286,-304.191158163262,-83.7938622448964,"April",1990-04-01,-949.511285714283
1990,"Q3",-525.791096938778,-280.365903061224,-806.155147959184,-484.560168367347,-1290.70745918367,-284.848357142857,-77.2826683673461,-362.141377551021,-151.830219387757,-513.963397959183,347.028668367348,-80.2462499999997,266.771704081628,-237.416760204081,29.3614693877598,-243.088392857142,"July",1990-07-01,-463.610785714286
